gene	CZJE_PBMC	G4YW_CD8_TE	G4YW_MAIT	G4YW_VD2+	G4YW_VD2-	G4YW_TFH	G4YW_Treg	G4YW_Th1	G4YW_Th1/Th17	G4YW_Th17	G4YW_Th2	G4YW_CD4_naive	G4YW_Progenitor	G4YW_B_naive	G4YW_B_NSM	G4YW_B_Ex	G4YW_B_SM	G4YW_Plasmablasts	G4YW_C_mono	G4YW_I_mono	G4YW_NC_mono	G4YW_NK	G4YW_pDC	G4YW_mDC	G4YW_Neutrophils	G4YW_Basophils	DZQV_PBMC	925L_PBMC	9JD4_PBMC	G4YW_PBMC	4DUY_PBMC	36TS_PBMC	CR3L_PBMC
MALAT1	2.65111	0.00214544	0	0	0.00173999	0.737662	0.00112557	0.0111656	0.00130872	0	0	0	2.26835	0	0	0	0.789591	0.436147	0	0	0	0	0	0	0.248643	0	2.10965	3.83105	7.43237	3.87109	5.86248	6.94337	1.62892
LINC01000	2.78231	6.34121	0.88273	1.44646	3.64806	3.46399	6.85944	3.13858	1.82371	2.67095	4.36298	5.50287	0	1.05716	2.57767	1.12741	3.02745	0	2.07276	1.65195	2.87183	5.98767	1.84561	4.65285	1.53854	4.96184	2.0672	3.21687	0.343774	0.783651	0	0.589092	3.02095
SNORD3D	0	0	0	0	0	0	6.46942	0.197958	0	0	2.15973	0	0	1.67039	0	0	0	0	0	0	1.91028	0	0	1.67461	0	0	0	0	0	0	1.85684	0	0
ABLIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463572	0	0	0	0	0	0	0	0	0	0	0	0
SNORA21	2.79972	2.90149	5.31026	1.45802	1.70616	4.95168	4.84144	5.88233	2.082	5.99909	3.21369	1.14085	5.79326	4.03599	1.11961	3.69673	4.37301	2.02722	2.63257	3.6872	1.03537	2.28402	5.16083	1.7015	5.61429	11.328	2.32248	1.23159	1.98098	1.54049	0.398058	0.906652	3.35175
LUC7L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD3	1.525297	1.3139	0.986811	0.90074	0.746388	1.58234	0.608791	2.084535	0.782205	5.10959	2.09474	1.980576	0.883416	2.80055	2.30785	0.120131	1.29565	0.508941	2.335167	1.51666	1.68396	2.1264237	2.72503	0.336026	2.69267	1.59629	1.26613	1.58116	1.54767	0.920256	0.964836	0.755531	0.966647
