GeneSymbol,mean_expr,lm22_cell_types
FCGR3B,3343.9204689908547,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
EPB41,3057.9358418145707,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PPBP,2794.9099254406374,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
SELL,2197.7467107011603,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MNDA,1944.8960315310178,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CSF3R,1847.3826832576342,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CXCR2,1594.4069851183303,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NCF2,1018.5590128559,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TNFRSF10C,824.5722609156177,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
AQP9,799.70452296732,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CXCR1,756.4131605163828,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
