"sample","...1","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","sum_fractions","sum_ok","p_class","corr_class","rmse_class","Quality_Category"
"CZJE_PBMC",NA,0,0.0767142450283956,0,0,0.189656713687528,0,0.0213690334681059,0.0253667147072753,0.00099735848827286,0.188940483962264,0,0,0,0.0458167026820466,0.0173852368088927,0.0762566171281659,0,0,0.357082055702345,0,0,0.00041483833670902,0.59,0.00331301494919551,1.1011020163347,1,TRUE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_CD8_TE",NA,0.0219231079260542,0.0330939202468371,0.021441923376944,0,0.159605120534606,0.0802760246109932,0.101579829928613,0,0,0.146630482658293,0.0423041823935843,0,0,0.0468835946364827,0,0.0666586034745057,0,0,0.279603210213087,0,0,0,0.59,0.00409245141305956,1.08878293765381,1,TRUE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_MAIT",4,0.18456661723833,0,0.00049497893166584,0,0.335608254155213,0,0,0,0.021338963202004,0.107741333000035,0,0.0317801434109704,0,0,0.0229524514609509,0.023100495701085,0,0,0.259155157885477,0,0.0132616050142682,0,0.77,-0.0254991902950535,1.12444988113835,5,FALSE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_VD2+",NA,0.246657896250465,0,0.00160349379407602,0,0.17708808848119,0,0,0.0223386925755248,0.0104832921532005,0.0672440502478819,0,0.0235989177464956,0,0.0339015130753047,0.0115246340578748,0,0.0107400796163931,0,0.378519336318519,0,0.0163000056830745,0,0.73,-0.0190182546199912,1.13245464025267,1,TRUE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_VD2-",42,0.297681315145417,0,0.0545134789790117,0.0044327012063653,0.00114920288447398,0.035277544041787,0,0.244883504999746,0,0.0997146628501788,0,0,0.0647930353187889,0,0,0.014905769340491,0,0.0144393982453243,0.158233302800714,0.00997608418770189,0,0,0.77,-0.0278237457414016,1.1236929694277,43,FALSE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_TFH",4,0,0.045886153387465,0.00659802175461338,0,0.180307869103672,0,0.0408177638649398,0,0,0.00688937527635019,0.0631523875276361,0,0,0.136503591614048,0,0.058193329647638,0,0,0.459519966744106,0,0,0.00213154107953191,0.46,0.0307845828023758,1.09882444276318,5,FALSE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_Treg",NA,0.0142777570663863,0.0620175200106162,0.0025833249310506,0,0.132769392276515,0.124858359844943,0.0970719351770082,0,0,0,0.147189174303419,0,0,0.0398228186257306,0.0143145023908755,0,0.032161127049974,0,0.33293408832348,0,0,0,0.67,-0.00982212366222394,1.10262384878002,0.999999999999998,TRUE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_Th1",41,0.170086094292586,0,0.00072695100300968,0,0.226033765730536,0.228221468258339,0.0333353003000914,0,0,0.082699713876409,0.0213221766334038,0,0,0.0897685914891233,0,0.00907016943375265,0.00359178096113817,0,0.135143988021611,0,0,0,0.77,-0.026851674832877,1.11390458359577,42,FALSE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_Th1/Th17",4117,0,0.15328293237548,0,0,0.0974866506249223,0.186048839623448,0.0928271694785444,0,0,0,0.130483915147186,0,0,0.0828224858229902,0,0.0315316623332755,0,0.0298453869611309,0.19427649142653,0,0,0.00139446620649262,0.77,-0.0257123498088033,1.09255478871249,4118,FALSE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
"G4YW_Th17",417,0.220809796199183,0,0.0024059879618461,0,0.232216742932005,0.0437998119713374,0.148417663725008,0,0.0212493567518335,0.0446884554888597,0.00530458575322851,0,0,0.0739269007090879,0,0.00987469446100235,0,0,0.197306004046609,0,0,0,0.76,-0.0215625453763792,1.1004019727325,418,FALSE,"Poor (>0.1)","Poor (<0.2)","Moderate (0.7-1.2)","Poor / Unreliable"
